residual sugar,quality,quality
2.2,6,Fair
1.6,6,Fair
1.8,6,Fair
1.9,5,Poor
1.7,5,Poor
1.7,7,Good
2.3,6,Fair
2.1,4,Poor
2.3,6,Fair
2.4,6,Fair
1.7,5,Poor
1.7,5,Poor
2.1,7,Good
2.3,4,Poor
2.1,7,Good
2.1,3,Poor
1.4,5,Poor
3.75,5,Poor
2.6,6,Fair
1.8,5,Poor
13.8,5,Poor
2.2,7,Good
13.8,5,Poor
2.2,7,Good
5.7,3,Poor
3,5,Poor
1.5,4,Poor
3,5,Poor
2.1,4,Poor
1.5,5,Poor
2,4,Poor
2.1,5,Poor
2.1,5,Poor
1.9,5,Poor
1.7,5,Poor
2.1,6,Fair
1.8,6,Fair
1.7,5,Poor
1.6,5,Poor
1.9,5,Poor
1.4,7,Good
1.9,6,Fair
1.9,5,Poor
2.3,6,Fair
2.3,6,Fair
2.3,6,Fair
1.5,5,Poor
4.3,5,Poor
2.4,5,Poor
2.5,6,Fair
2.3,6,Fair
1.8,3,Poor
2,6,Fair
2.3,6,Fair
2.1,6,Fair
1.8,5,Poor
2.2,6,Fair
2.1,5,Poor
2.2,6,Fair
1.8,6,Fair
4.1,6,Fair
4.1,6,Fair
2.3,5,Poor
2,6,Fair
2.2,5,Poor
2.6,5,Poor
2,6,Fair
1.9,4,Poor
2.3,5,Poor
2,5,Poor
2,6,Fair
2.1,5,Poor
2.2,6,Fair
1.7,6,Fair
2.2,6,Fair
2.1,6,Fair
2.2,6,Fair
2.8,5,Poor
2,6,Fair
1.9,5,Poor
2.4,7,Good
2.2,6,Fair
1.9,6,Fair
1.9,6,Fair
2.5,5,Poor
1.8,5,Poor
4.4,6,Fair
2.2,7,Good
1.9,6,Fair
2.2,6,Fair
2.3,7,Good
1.8,6,Fair
2,5,Poor
1.6,5,Poor
2,5,Poor
1.8,8,Good
2.3,5,Poor
2.3,5,Poor
3.7,6,Fair
2.2,5,Poor
2.4,6,Fair
1.7,7,Good
2.2,5,Poor
2.4,6,Fair
6.7,5,Poor
2,5,Poor
2,5,Poor
2,5,Poor
2,5,Poor
2,5,Poor
2,5,Poor
1.9,6,Fair
2.1,6,Fair
2,5,Poor
1.6,5,Poor
1.9,6,Fair
2.2,6,Fair
2.2,6,Fair
2.2,5,Poor
2.4,6,Fair
13.9,6,Fair
2.2,6,Fair
1.6,6,Fair
5.1,6,Fair
1.8,6,Fair
1.7,5,Poor
2.4,6,Fair
1.7,5,Poor
2.6,5,Poor
2.1,5,Poor
2.4,7,Good
2.6,6,Fair
2.4,6,Fair
1.8,6,Fair
2.5,6,Fair
7.8,5,Poor
1.8,6,Fair
1.7,6,Fair
2.3,6,Fair
1.9,6,Fair
2,5,Poor
2.2,6,Fair
2.3,6,Fair
2,5,Poor
3.6,6,Fair
